time,FLOW,TEMP,SALT,AirTemp,Rain,type,inflow_num
2021-09-04,1.3969,18.4008,0,17.9748842875163,0,inflow,1
2021-09-05,1.3252,18.308,0,19.71688868204755,0.0015000000068539521,inflow,1
2021-09-06,1.2577,18.2951,0,20.61834360758466,0.0012000000035186531,inflow,1
2021-09-07,1.1936,18.3215,0,19.64519017537437,0,inflow,1
2021-09-08,1.1325,18.3048,0,19.65966949462893,0.0012000000035186531,inflow,1
2021-09-09,1.075,18.2896,0,16.149207051595074,9.99999978375854e-5,inflow,1
2021-09-10,1.02,18.1251,0,15.004591878255232,0,inflow,1
2021-09-11,0.9679,17.9212,0,14.857427215576195,0,inflow,1
2021-09-12,0.9186,17.7228,0,15.311916605631533,0,inflow,1
2021-09-13,0.8718,17.5553,0,19.280130004882835,9.000000689411535e-4,inflow,1
2021-09-14,0.8277,17.5673,0,18.383110300699894,0.007400000252528117,inflow,1
2021-09-15,0.7882,17.5402,0,15.222894287109398,2.9999999351275623e-4,inflow,1
2021-09-16,0.7483,17.3795,0,18.845073954264347,9.99999978375854e-5,inflow,1
2021-09-17,0.7104,17.383,0,19.74028294881187,0.0018000000396568793,inflow,1
2021-09-18,0.6751,17.4246,0,19.69616216023765,0,inflow,1
2021-09-19,0.641,17.4619,0,15.52048009236656,0,inflow,1
2021-09-20,0.6087,17.3185,0,14.315957641601585,0,inflow,1
2021-09-21,0.578,17.1318,0,13.242801920572939,0,inflow,1
2021-09-22,0.549,16.91,0,14.076164499918642,0,inflow,1
2021-09-23,0.5214,16.7366,0,17.190193430582706,0,inflow,1
2021-09-24,0.4953,16.7066,0,19.18872985839846,0,inflow,1
2021-09-25,0.4706,16.7637,0,15.71186472574872,0.0017999999807216227,inflow,1
2021-09-26,0.4478,16.6688,0,15.647630310058616,0.0034999999439605744,inflow,1
2021-09-27,0.4267,16.5767,0,15.965498860677107,5.999999968480552e-4,inflow,1
2021-09-28,0.4058,16.5035,0,14.94568532307945,4.0000000117288435e-4,inflow,1
2021-09-29,0.3858,16.3909,0,12.505469258626325,0.001500000095256837,inflow,1
2021-09-30,0.3673,16.1804,0,14.69348805745445,0.0010000000078434824,inflow,1
2021-10-01,0.3496,16.0757,0,16.233322397867862,0.0012000000035186531,inflow,1
2021-10-02,0.3329,16.0429,0,15.559025065104189,0,inflow,1
2021-10-03,0.3166,15.9832,0,15.934743499755882,0,inflow,1
2021-10-04,0.3012,15.943,0,16.778482055664085,2.9999999351275623e-4,inflow,1
2021-10-05,0.2867,15.9412,0,17.06296564737958,0.0020999999938794644,inflow,1
2021-10-06,0.2735,15.9517,0,15.249930318196638,0.008699999556483817,inflow,1
2021-10-07,0.2634,15.8841,0,11.160384114583357,0,inflow,1
2021-10-08,0.2507,15.6454,0,10.348382568359398,NA,inflow,1
