time,FLOW,TEMP,type,outflow_num
2021-09-04,1.3969,18.3679,outflow,1
2021-09-05,1.3252,18.2655,outflow,1
2021-09-06,1.2582,18.2515,outflow,1
2021-09-07,1.1963,18.2999,outflow,1
2021-09-08,1.135,18.2953,outflow,1
2021-09-09,1.081,18.3421,outflow,1
2021-09-10,1.0328,18.2695,outflow,1
2021-09-11,0.9801,18.1796,outflow,1
2021-09-12,0.9301,18.1403,outflow,1
2021-09-13,0.8828,18.1909,outflow,1
2021-09-14,0.8378,18.139,outflow,1
2021-09-15,0.7953,18.001,outflow,1
2021-09-16,0.7564,17.936,outflow,1
2021-09-17,0.7187,18.0515,outflow,1
2021-09-18,0.6823,18.1072,outflow,1
2021-09-19,0.6478,18.1733,outflow,1
2021-09-20,0.6151,18.2204,outflow,1
2021-09-21,0.5848,18.2375,outflow,1
2021-09-22,0.5559,18.2282,outflow,1
2021-09-23,0.528,18.0488,outflow,1
2021-09-24,0.5062,17.6735,outflow,1
2021-09-25,0.4809,17.3171,outflow,1
2021-09-26,0.4569,17.024,outflow,1
2021-09-27,0.4342,16.7994,outflow,1
2021-09-28,0.4126,16.6948,outflow,1
2021-09-29,0.3922,16.6761,outflow,1
2021-09-30,0.3728,16.7122,outflow,1
2021-10-01,0.3559,16.7121,outflow,1
2021-10-02,0.3385,16.2823,outflow,1
2021-10-03,0.322,15.8354,outflow,1
2021-10-04,0.3063,15.558,outflow,1
2021-10-05,0.2914,15.3267,outflow,1
2021-10-06,0.2773,15.1592,outflow,1
2021-10-07,0.2639,15.0907,outflow,1
2021-10-08,0.2512,15.0793,outflow,1
