time,FLOW,TEMP,type,outflow_num
2021-09-04,1.3969,18.4147,outflow,1
2021-09-05,1.3252,18.3288,outflow,1
2021-09-06,1.2573,18.3571,outflow,1
2021-09-07,1.1928,18.3898,outflow,1
2021-09-08,1.1317,18.373,outflow,1
2021-09-09,1.0738,18.4219,outflow,1
2021-09-10,1.019,18.4263,outflow,1
2021-09-11,0.9669,18.317,outflow,1
2021-09-12,0.9176,18.2769,outflow,1
2021-09-13,0.8709,18.4579,outflow,1
2021-09-14,0.8266,18.3881,outflow,1
2021-09-15,0.7846,18.3087,outflow,1
2021-09-16,0.7447,18.3478,outflow,1
2021-09-17,0.707,18.5335,outflow,1
2021-09-18,0.6745,18.5744,outflow,1
2021-09-19,0.6405,18.6437,outflow,1
2021-09-20,0.6082,18.4665,outflow,1
2021-09-21,0.5776,18.2372,outflow,1
2021-09-22,0.5488,18.3499,outflow,1
2021-09-23,0.5312,18.4504,outflow,1
2021-09-24,0.5052,18.589,outflow,1
2021-09-25,0.484,18.6918,outflow,1
2021-09-26,0.4598,18.8357,outflow,1
2021-09-27,0.4375,18.9744,outflow,1
2021-09-28,0.4161,19.0684,outflow,1
2021-09-29,0.3956,18.9226,outflow,1
2021-09-30,0.376,18.6366,outflow,1
2021-10-01,0.3575,18.3451,outflow,1
2021-10-02,0.3399,18.0455,outflow,1
2021-10-03,0.3233,17.7818,outflow,1
2021-10-04,0.3076,17.6077,outflow,1
2021-10-05,0.2926,17.5256,outflow,1
2021-10-06,0.2784,17.4222,outflow,1
2021-10-07,0.265,17.2088,outflow,1
2021-10-08,0.2523,17.037,outflow,1
