time,FLOW,TEMP,type,outflow_num
2021-09-04,1.3969,18.3957,outflow,1
2021-09-05,1.3252,18.269,outflow,1
2021-09-06,1.2573,18.2237,outflow,1
2021-09-07,1.1933,18.2434,outflow,1
2021-09-08,1.1322,18.1885,outflow,1
2021-09-09,1.0786,18.1136,outflow,1
2021-09-10,1.0234,17.9494,outflow,1
2021-09-11,0.9712,17.7365,outflow,1
2021-09-12,0.9216,17.6235,outflow,1
2021-09-13,0.8747,17.587,outflow,1
2021-09-14,0.8302,17.6307,outflow,1
2021-09-15,0.7881,17.8321,outflow,1
2021-09-16,0.7481,18.0537,outflow,1
2021-09-17,0.7105,18.25,outflow,1
2021-09-18,0.6746,18.3042,outflow,1
2021-09-19,0.6405,18.3444,outflow,1
2021-09-20,0.6082,18.3606,outflow,1
2021-09-21,0.578,18.3536,outflow,1
2021-09-22,0.5512,18.2166,outflow,1
2021-09-23,0.5235,17.9529,outflow,1
2021-09-24,0.4973,17.7923,outflow,1
2021-09-25,0.4725,17.553,outflow,1
2021-09-26,0.4489,17.5366,outflow,1
2021-09-27,0.4266,17.6004,outflow,1
2021-09-28,0.4055,17.6454,outflow,1
2021-09-29,0.3854,17.5623,outflow,1
2021-09-30,0.3665,17.4654,outflow,1
2021-10-01,0.3485,17.4625,outflow,1
2021-10-02,0.3314,17.4404,outflow,1
2021-10-03,0.3152,17.4591,outflow,1
2021-10-04,0.2999,17.4678,outflow,1
2021-10-05,0.2853,17.4514,outflow,1
2021-10-06,0.2715,17.4695,outflow,1
2021-10-07,0.2585,17.5355,outflow,1
2021-10-08,0.2462,17.6478,outflow,1
