time,FLOW,TEMP,type,outflow_num
2021-09-04,1.3969,18.4053,outflow,1
2021-09-05,1.3252,18.3237,outflow,1
2021-09-06,1.2574,18.3325,outflow,1
2021-09-07,1.1931,18.3623,outflow,1
2021-09-08,1.132,18.4053,outflow,1
2021-09-09,1.0751,18.5137,outflow,1
2021-09-10,1.0204,18.3818,outflow,1
2021-09-11,0.9683,18.1212,outflow,1
2021-09-12,0.9189,17.8919,outflow,1
2021-09-13,0.8721,17.7582,outflow,1
2021-09-14,0.8277,17.7508,outflow,1
2021-09-15,0.7856,17.907,outflow,1
2021-09-16,0.7458,18.1024,outflow,1
2021-09-17,0.708,18.3135,outflow,1
2021-09-18,0.6723,18.499,outflow,1
2021-09-19,0.6383,18.6264,outflow,1
2021-09-20,0.6062,18.6715,outflow,1
2021-09-21,0.5757,18.6172,outflow,1
2021-09-22,0.5468,18.6155,outflow,1
2021-09-23,0.5194,18.63,outflow,1
2021-09-24,0.4934,18.6282,outflow,1
2021-09-25,0.4687,18.6577,outflow,1
2021-09-26,0.4454,18.6511,outflow,1
2021-09-27,0.4232,18.6748,outflow,1
2021-09-28,0.4023,18.696,outflow,1
2021-09-29,0.3831,18.4512,outflow,1
2021-09-30,0.3642,17.8916,outflow,1
2021-10-01,0.3463,17.4031,outflow,1
2021-10-02,0.3293,17.2502,outflow,1
2021-10-03,0.3133,17.0356,outflow,1
2021-10-04,0.298,16.775,outflow,1
2021-10-05,0.2835,16.4733,outflow,1
2021-10-06,0.2698,16.304,outflow,1
2021-10-07,0.2569,16.1498,outflow,1
2021-10-08,0.2446,16.0081,outflow,1
