time,FLOW,TEMP,type,outflow_num
2021-09-04,1.3969,18.4008,outflow,1
2021-09-05,1.3252,18.308,outflow,1
2021-09-06,1.2577,18.2951,outflow,1
2021-09-07,1.1936,18.3215,outflow,1
2021-09-08,1.1325,18.3048,outflow,1
2021-09-09,1.075,18.2896,outflow,1
2021-09-10,1.02,18.1251,outflow,1
2021-09-11,0.9679,17.9212,outflow,1
2021-09-12,0.9186,17.7228,outflow,1
2021-09-13,0.8718,17.5553,outflow,1
2021-09-14,0.8277,17.5673,outflow,1
2021-09-15,0.7882,17.5402,outflow,1
2021-09-16,0.7483,17.3795,outflow,1
2021-09-17,0.7104,17.383,outflow,1
2021-09-18,0.6751,17.4246,outflow,1
2021-09-19,0.641,17.4619,outflow,1
2021-09-20,0.6087,17.3185,outflow,1
2021-09-21,0.578,17.1318,outflow,1
2021-09-22,0.549,16.91,outflow,1
2021-09-23,0.5214,16.7366,outflow,1
2021-09-24,0.4953,16.7066,outflow,1
2021-09-25,0.4706,16.7637,outflow,1
2021-09-26,0.4478,16.6688,outflow,1
2021-09-27,0.4267,16.5767,outflow,1
2021-09-28,0.4058,16.5035,outflow,1
2021-09-29,0.3858,16.3909,outflow,1
2021-09-30,0.3673,16.1804,outflow,1
2021-10-01,0.3496,16.0757,outflow,1
2021-10-02,0.3329,16.0429,outflow,1
2021-10-03,0.3166,15.9832,outflow,1
2021-10-04,0.3012,15.943,outflow,1
2021-10-05,0.2867,15.9412,outflow,1
2021-10-06,0.2735,15.9517,outflow,1
2021-10-07,0.2634,15.8841,outflow,1
2021-10-08,0.2507,15.6454,outflow,1
