time,FLOW,TEMP,type,outflow_num
2021-09-04,1.3969,18.388,outflow,1
2021-09-05,1.3252,18.3118,outflow,1
2021-09-06,1.2572,18.2932,outflow,1
2021-09-07,1.1929,18.3018,outflow,1
2021-09-08,1.1318,18.2518,outflow,1
2021-09-09,1.0738,18.2343,outflow,1
2021-09-10,1.019,18.0782,outflow,1
2021-09-11,0.9669,17.8743,outflow,1
2021-09-12,0.9176,17.8722,outflow,1
2021-09-13,0.8708,17.9517,outflow,1
2021-09-14,0.8265,17.9308,outflow,1
2021-09-15,0.7845,17.8833,outflow,1
2021-09-16,0.7447,17.9237,outflow,1
2021-09-17,0.707,17.9838,outflow,1
2021-09-18,0.6714,17.9881,outflow,1
2021-09-19,0.6375,17.8929,outflow,1
2021-09-20,0.6092,17.9108,outflow,1
2021-09-21,0.5786,17.9328,outflow,1
2021-09-22,0.5495,17.7999,outflow,1
2021-09-23,0.522,17.6033,outflow,1
2021-09-24,0.4958,17.5055,outflow,1
2021-09-25,0.4711,17.474,outflow,1
2021-09-26,0.4476,17.4936,outflow,1
2021-09-27,0.4255,17.5148,outflow,1
2021-09-28,0.4048,17.4887,outflow,1
2021-09-29,0.3848,17.1568,outflow,1
2021-09-30,0.3658,16.7644,outflow,1
2021-10-01,0.3478,16.4682,outflow,1
2021-10-02,0.3308,16.2181,outflow,1
2021-10-03,0.3146,15.9399,outflow,1
2021-10-04,0.2993,15.6701,outflow,1
2021-10-05,0.2848,15.5867,outflow,1
2021-10-06,0.271,15.673400000000001,outflow,1
2021-10-07,0.258,15.753,outflow,1
2021-10-08,0.2456,15.8877,outflow,1
