time,FLOW,TEMP,type,outflow_num
2021-09-04,1.3969,18.3827,outflow,1
2021-09-05,1.3252,18.2603,outflow,1
2021-09-06,1.2573,18.2094,outflow,1
2021-09-07,1.1929,18.2322,outflow,1
2021-09-08,1.1318,18.2429,outflow,1
2021-09-09,1.0739,18.3263,outflow,1
2021-09-10,1.0198,18.2666,outflow,1
2021-09-11,0.9678,18.0641,outflow,1
2021-09-12,0.9184,17.9486,outflow,1
2021-09-13,0.8718,18.0036,outflow,1
2021-09-14,0.8323,17.9542,outflow,1
2021-09-15,0.7904,18.0697,outflow,1
2021-09-16,0.7513,18.111,outflow,1
2021-09-17,0.7132,17.8631,outflow,1
2021-09-18,0.6771,17.5499,outflow,1
2021-09-19,0.6429,17.2741,outflow,1
2021-09-20,0.6104,17.0981,outflow,1
2021-09-21,0.5797,16.9989,outflow,1
2021-09-22,0.5506,16.9628,outflow,1
2021-09-23,0.523,16.6692,outflow,1
2021-09-24,0.4968,16.419,outflow,1
2021-09-25,0.472,16.276,outflow,1
2021-09-26,0.4484,16.3121,outflow,1
2021-09-27,0.4262,16.4411,outflow,1
2021-09-28,0.405,16.4361,outflow,1
2021-09-29,0.385,16.5492,outflow,1
2021-09-30,0.3684,16.5993,outflow,1
2021-10-01,0.3505,16.4483,outflow,1
2021-10-02,0.3334,16.4087,outflow,1
2021-10-03,0.318,16.4504,outflow,1
2021-10-04,0.3025,16.5389,outflow,1
2021-10-05,0.2886,16.6182,outflow,1
2021-10-06,0.2764,16.6312,outflow,1
2021-10-07,0.2651,16.5787,outflow,1
2021-10-08,0.2527,16.5583,outflow,1
