time,FLOW,TEMP,type,outflow_num
2021-09-04,1.3969,18.3952,outflow,1
2021-09-05,1.3252,18.3073,outflow,1
2021-09-06,1.2574,18.317,outflow,1
2021-09-07,1.193,18.3319,outflow,1
2021-09-08,1.1322,18.3747,outflow,1
2021-09-09,1.0746,18.4758,outflow,1
2021-09-10,1.0203,18.3477,outflow,1
2021-09-11,0.9682,18.2083,outflow,1
2021-09-12,0.9188,18.1094,outflow,1
2021-09-13,0.872,18.0258,outflow,1
2021-09-14,0.8279,18.0791,outflow,1
2021-09-15,0.7869,18.1821,outflow,1
2021-09-16,0.7472,18.3055,outflow,1
2021-09-17,0.7101,18.42,outflow,1
2021-09-18,0.6746,18.5511,outflow,1
2021-09-19,0.641,18.6149,outflow,1
2021-09-20,0.61,18.7002,outflow,1
2021-09-21,0.5815,18.7024,outflow,1
2021-09-22,0.5529,18.418,outflow,1
2021-09-23,0.5251,18.0356,outflow,1
2021-09-24,0.4988,17.7107,outflow,1
2021-09-25,0.4739,17.5459,outflow,1
2021-09-26,0.4503,17.4979,outflow,1
2021-09-27,0.4308,17.5312,outflow,1
2021-09-28,0.4129,17.3627,outflow,1
2021-09-29,0.3925,17.0535,outflow,1
2021-09-30,0.3731,16.7985,outflow,1
2021-10-01,0.3547,16.5609,outflow,1
2021-10-02,0.3395,16.4284,outflow,1
2021-10-03,0.3237,16.293,outflow,1
2021-10-04,0.308,16.114,outflow,1
2021-10-05,0.293,15.9778,outflow,1
2021-10-06,0.2788,15.8787,outflow,1
2021-10-07,0.2654,15.8412,outflow,1
2021-10-08,0.2543,15.7973,outflow,1
