time,FLOW,TEMP,type,outflow_num
2021-09-04,1.3969,18.3834,outflow,1
2021-09-05,1.3252,18.2882,outflow,1
2021-09-06,1.2572,18.2196,outflow,1
2021-09-07,1.1928,18.2447,outflow,1
2021-09-08,1.1318,18.2632,outflow,1
2021-09-09,1.0747,18.3078,outflow,1
2021-09-10,1.0197,18.2791,outflow,1
2021-09-11,0.9677,18.3125,outflow,1
2021-09-12,0.9183,18.4652,outflow,1
2021-09-13,0.8715,18.6482,outflow,1
2021-09-14,0.8275,18.7795,outflow,1
2021-09-15,0.7903,18.8226,outflow,1
2021-09-16,0.7502,18.7891,outflow,1
2021-09-17,0.7148,18.6218,outflow,1
2021-09-18,0.6788,18.4382,outflow,1
2021-09-19,0.6466,18.4238,outflow,1
2021-09-20,0.6152,18.4364,outflow,1
2021-09-21,0.5842,18.4808,outflow,1
2021-09-22,0.5577,18.5363,outflow,1
2021-09-23,0.5345,18.5353,outflow,1
2021-09-24,0.5082,18.5182,outflow,1
2021-09-25,0.4833,18.3437,outflow,1
2021-09-26,0.4593,18.1885,outflow,1
2021-09-27,0.4382,18.1993,outflow,1
2021-09-28,0.4166,18.0812,outflow,1
2021-09-29,0.3959,17.8891,outflow,1
2021-09-30,0.3764,17.7102,outflow,1
2021-10-01,0.3579,17.5033,outflow,1
2021-10-02,0.3404,17.2335,outflow,1
2021-10-03,0.3237,17.1068,outflow,1
2021-10-04,0.3081,16.9681,outflow,1
2021-10-05,0.2935,16.8873,outflow,1
2021-10-06,0.2793,16.7293,outflow,1
2021-10-07,0.2659,16.5111,outflow,1
2021-10-08,0.2531,16.4514,outflow,1
