time,FLOW,TEMP,type,outflow_num
2021-09-04,1.3969,18.4181,outflow,1
2021-09-05,1.3252,18.3364,outflow,1
2021-09-06,1.2573,18.3379,outflow,1
2021-09-07,1.1933,18.3863,outflow,1
2021-09-08,1.1322,18.3676,outflow,1
2021-09-09,1.0743,18.4063,outflow,1
2021-09-10,1.0194,18.4668,outflow,1
2021-09-11,0.9673,18.472,outflow,1
2021-09-12,0.918,18.4577,outflow,1
2021-09-13,0.8712,18.4068,outflow,1
2021-09-14,0.8269,18.4783,outflow,1
2021-09-15,0.7851,18.6109,outflow,1
2021-09-16,0.7459,18.7295,outflow,1
2021-09-17,0.7081,18.8241,outflow,1
2021-09-18,0.673,18.96,outflow,1
2021-09-19,0.6416,19.0282,outflow,1
2021-09-20,0.6101,19.0187,outflow,1
2021-09-21,0.5794,18.6184,outflow,1
2021-09-22,0.5503,18.1476,outflow,1
2021-09-23,0.5227,17.8312,outflow,1
2021-09-24,0.4965,17.6966,outflow,1
2021-09-25,0.4717,17.6749,outflow,1
2021-09-26,0.4482,17.6929,outflow,1
2021-09-27,0.4259,17.7093,outflow,1
2021-09-28,0.405,17.6347,outflow,1
2021-09-29,0.3861,17.647,outflow,1
2021-09-30,0.3671,17.751,outflow,1
2021-10-01,0.3509,17.8615,outflow,1
2021-10-02,0.3374,17.9637,outflow,1
2021-10-03,0.3293,17.9656,outflow,1
2021-10-04,0.3132,17.7928,outflow,1
2021-10-05,0.298,17.4896,outflow,1
2021-10-06,0.2852,17.257,outflow,1
2021-10-07,0.2715,17.137,outflow,1
2021-10-08,0.2585,16.8909,outflow,1
