time,FLOW,TEMP,type,outflow_num
2021-09-04,1.3969,18.4104,outflow,1
2021-09-05,1.3252,18.349,outflow,1
2021-09-06,1.2576,18.3772,outflow,1
2021-09-07,1.1938,18.436,outflow,1
2021-09-08,1.1326,18.3635,outflow,1
2021-09-09,1.0755,18.396,outflow,1
2021-09-10,1.0216,18.2276,outflow,1
2021-09-11,0.9694,18.0482,outflow,1
2021-09-12,0.92,17.9492,outflow,1
2021-09-13,0.8731,18.04,outflow,1
2021-09-14,0.8286,18.1897,outflow,1
2021-09-15,0.7865,18.3625,outflow,1
2021-09-16,0.7466,18.5924,outflow,1
2021-09-17,0.7094,18.7061,outflow,1
2021-09-18,0.6744,18.7472,outflow,1
2021-09-19,0.6417,18.7349,outflow,1
2021-09-20,0.6109,18.7898,outflow,1
2021-09-21,0.5802,18.7938,outflow,1
2021-09-22,0.551,18.8335,outflow,1
2021-09-23,0.5234,18.71,outflow,1
2021-09-24,0.4972,18.5737,outflow,1
2021-09-25,0.4723,18.5936,outflow,1
2021-09-26,0.4488,18.6471,outflow,1
2021-09-27,0.4265,18.668,outflow,1
2021-09-28,0.4053,18.7044,outflow,1
2021-09-29,0.3853,18.7646,outflow,1
2021-09-30,0.3663,18.8368,outflow,1
2021-10-01,0.3483,18.9223,outflow,1
2021-10-02,0.3313,18.9875,outflow,1
2021-10-03,0.3151,19.0871,outflow,1
2021-10-04,0.2997,19.166,outflow,1
2021-10-05,0.2852,19.2421,outflow,1
2021-10-06,0.2721,19.219,outflow,1
2021-10-07,0.2594,19.2002,outflow,1
2021-10-08,0.2496,19.1627,outflow,1
