time,FLOW,TEMP,SALT,AirTemp,Rain,type,inflow_num
2021-09-04,1.3969,18.414,0,18.12318572998049,0,inflow,1
2021-09-05,1.3252,18.3268,0,21.059987640380882,0,inflow,1
2021-09-06,1.2572,18.3702,0,22.246574656168644,7.999999728781404e-4,inflow,1
2021-09-07,1.193,18.462,0,21.357305145263695,9.99999978375854e-5,inflow,1
2021-09-08,1.1319,18.5103,0,21.443715667724632,4.0000000117288435e-4,inflow,1
2021-09-09,1.0741,18.5596,0,16.930371856689476,0,inflow,1
2021-09-10,1.0192,18.4129,0,15.537103271484398,9.99999978375854e-5,inflow,1
2021-09-11,0.9672,18.2151,0,15.767522430419945,0,inflow,1
2021-09-12,0.9179,18.0387,0,15.752815500895204,0,inflow,1
2021-09-13,0.8711,17.8718,0,17.209823862711612,0,inflow,1
2021-09-14,0.8268,17.7768,0,19.2450996398926,0,inflow,1
2021-09-15,0.7848,17.7745,0,15.883426920572939,0.001999999907638994,inflow,1
2021-09-16,0.7456,17.6285,0,16.768326059977237,5.999999870255125e-4,inflow,1
2021-09-17,0.7081,17.5287,0,19.093707021077496,9.99999978375854e-5,inflow,1
2021-09-18,0.6723,17.534300000000002,0,13.333514149983747,0,inflow,1
2021-09-19,0.6383,17.293,0,16.932605997721378,0,inflow,1
2021-09-20,0.6061,17.2198,0,21.38725051879885,0,inflow,1
2021-09-21,0.5756,17.3413,0,19.917208607991558,0,inflow,1
2021-09-22,0.5467,17.3929,0,20.68615366617841,0,inflow,1
2021-09-23,0.5193,17.4744,0,22.43180618286135,0,inflow,1
2021-09-24,0.4933,17.6259,0,21.61957702636721,0,inflow,1
2021-09-25,0.4686,17.7338,0,21.392419433593773,0,inflow,1
2021-09-26,0.4453,17.8258,0,20.519801076253277,0,inflow,1
2021-09-27,0.4232,17.8752,0,13.85647862752281,9.99999978375854e-5,inflow,1
2021-09-28,0.4022,17.6366,0,11.916874186197939,0,inflow,1
2021-09-29,0.3823,17.3289,0,15.114371236165388,0,inflow,1
2021-09-30,0.3635,17.1757,0,17.132988230387394,0,inflow,1
2021-10-01,0.3456,17.1178,0,17.909361775716167,0,inflow,1
2021-10-02,0.3287,17.0964,0,11.335960642496767,0,inflow,1
2021-10-03,0.3126,16.7951,0,14.940983072916689,0,inflow,1
2021-10-04,0.2974,16.6654,0,18.791219329834007,0.0021000000822823496,inflow,1
2021-10-05,0.2837,16.708,0,15.896011606852236,0.00139999995008111,inflow,1
2021-10-06,0.2705,16.6242,0,12.324868774414085,0,inflow,1
2021-10-07,0.2575,16.3925,0,7.206452941894554,0,inflow,1
2021-10-08,0.2451,15.9552,0,7.194421386718773,NA,inflow,1
