time,FLOW,TEMP,type,outflow_num
2021-09-04,1.3969,18.3843,outflow,1
2021-09-05,1.3252,18.273,outflow,1
2021-09-06,1.2587,18.1937,outflow,1
2021-09-07,1.1944,18.1811,outflow,1
2021-09-08,1.1332,18.0708,outflow,1
2021-09-09,1.0752,18.0674,outflow,1
2021-09-10,1.0206,17.8708,outflow,1
2021-09-11,0.9685,17.8749,outflow,1
2021-09-12,0.9191,17.8668,outflow,1
2021-09-13,0.8726,17.9584,outflow,1
2021-09-14,0.8303,18.121,outflow,1
2021-09-15,0.7881,18.2664,outflow,1
2021-09-16,0.7492,18.3694,outflow,1
2021-09-17,0.7112,18.4441,outflow,1
2021-09-18,0.6754,18.4853,outflow,1
2021-09-19,0.6415,18.5552,outflow,1
2021-09-20,0.6091,18.5634,outflow,1
2021-09-21,0.5784,18.607,outflow,1
2021-09-22,0.5498,18.6337,outflow,1
2021-09-23,0.5264,18.6121,outflow,1
2021-09-24,0.5013,18.4866,outflow,1
2021-09-25,0.4763,18.2294,outflow,1
2021-09-26,0.4525,18.0495,outflow,1
2021-09-27,0.43,17.9592,outflow,1
2021-09-28,0.4087,17.8683,outflow,1
2021-09-29,0.3885,17.8311,outflow,1
2021-09-30,0.3693,17.9226,outflow,1
2021-10-01,0.3514,17.9333,outflow,1
2021-10-02,0.3365,17.8324,outflow,1
2021-10-03,0.3212,17.739,outflow,1
2021-10-04,0.3055,17.395,outflow,1
2021-10-05,0.2907,17.1403,outflow,1
2021-10-06,0.2766,16.8775,outflow,1
2021-10-07,0.2633,16.4444,outflow,1
2021-10-08,0.2506,15.9219,outflow,1
