time,FLOW,TEMP,type,outflow_num
2021-09-04,1.3969,18.3752,outflow,1
2021-09-05,1.3252,18.2556,outflow,1
2021-09-06,1.2572,18.2556,outflow,1
2021-09-07,1.1929,18.3038,outflow,1
2021-09-08,1.1318,18.2699,outflow,1
2021-09-09,1.0742,18.3594,outflow,1
2021-09-10,1.0207,18.3464,outflow,1
2021-09-11,0.9685,18.2422,outflow,1
2021-09-12,0.9191,18.0822,outflow,1
2021-09-13,0.8723,17.9383,outflow,1
2021-09-14,0.8279,17.8453,outflow,1
2021-09-15,0.7858,17.7775,outflow,1
2021-09-16,0.746,17.8044,outflow,1
2021-09-17,0.7082,17.9377,outflow,1
2021-09-18,0.6723,18.0468,outflow,1
2021-09-19,0.6384,18.145,outflow,1
2021-09-20,0.6074,18.2689,outflow,1
2021-09-21,0.577,18.3396,outflow,1
2021-09-22,0.5486,18.4443,outflow,1
2021-09-23,0.5213,18.4967,outflow,1
2021-09-24,0.4952,18.4878,outflow,1
2021-09-25,0.4707,18.3716,outflow,1
2021-09-26,0.4496,18.2454,outflow,1
2021-09-27,0.4349,18.2757,outflow,1
2021-09-28,0.4133,18.3036,outflow,1
2021-09-29,0.3928,18.3318,outflow,1
2021-09-30,0.3738,18.3781,outflow,1
2021-10-01,0.3556,18.3469,outflow,1
2021-10-02,0.3381,18.1857,outflow,1
2021-10-03,0.3216,18.0434,outflow,1
2021-10-04,0.3059,18.0578,outflow,1
2021-10-05,0.291,18.1113,outflow,1
2021-10-06,0.277,18.1124,outflow,1
2021-10-07,0.2636,18.0061,outflow,1
2021-10-08,0.2538,18.0236,outflow,1
