time,FLOW,TEMP,type,outflow_num
2021-09-04,1.3969,18.3886,outflow,1
2021-09-05,1.3252,18.2729,outflow,1
2021-09-06,1.2587,18.2519,outflow,1
2021-09-07,1.1942,18.2216,outflow,1
2021-09-08,1.1331,18.194,outflow,1
2021-09-09,1.0782,18.1661,outflow,1
2021-09-10,1.0231,17.9249,outflow,1
2021-09-11,0.9708,17.6927,outflow,1
2021-09-12,0.9213,17.553,outflow,1
2021-09-13,0.8744,17.5188,outflow,1
2021-09-14,0.8299,17.531,outflow,1
2021-09-15,0.7878,17.5816,outflow,1
2021-09-16,0.7478,17.6798,outflow,1
2021-09-17,0.7106,17.7891,outflow,1
2021-09-18,0.6755,17.9498,outflow,1
2021-09-19,0.6428,18.0821,outflow,1
2021-09-20,0.6107,18.1027,outflow,1
2021-09-21,0.5799,17.9907,outflow,1
2021-09-22,0.5508,17.8282,outflow,1
2021-09-23,0.5231,17.6241,outflow,1
2021-09-24,0.4987,17.4278,outflow,1
2021-09-25,0.4739,17.3216,outflow,1
2021-09-26,0.4503,17.2379,outflow,1
2021-09-27,0.4285,17.2323,outflow,1
2021-09-28,0.4077,17.214,outflow,1
2021-09-29,0.3875,17.0561,outflow,1
2021-09-30,0.3684,16.9586,outflow,1
2021-10-01,0.3503,16.9013,outflow,1
2021-10-02,0.3331,16.8171,outflow,1
2021-10-03,0.3168,16.808,outflow,1
2021-10-04,0.3014,16.8397,outflow,1
2021-10-05,0.2867,16.889,outflow,1
2021-10-06,0.2729,16.9603,outflow,1
2021-10-07,0.2597,17.0977,outflow,1
2021-10-08,0.2473,17.1555,outflow,1
