time,FLOW,TEMP,type,outflow_num
2021-09-04,1.3969,18.3938,outflow,1
2021-09-05,1.3252,18.2588,outflow,1
2021-09-06,1.2576,18.2023,outflow,1
2021-09-07,1.1934,18.1647,outflow,1
2021-09-08,1.1323,18.1929,outflow,1
2021-09-09,1.0755,18.2265,outflow,1
2021-09-10,1.0205,18.1077,outflow,1
2021-09-11,0.9684,17.9493,outflow,1
2021-09-12,0.919,17.8639,outflow,1
2021-09-13,0.8722,17.9667,outflow,1
2021-09-14,0.8278,18.1909,outflow,1
2021-09-15,0.786,18.4039,outflow,1
2021-09-16,0.7461,18.5943,outflow,1
2021-09-17,0.7083,18.7444,outflow,1
2021-09-18,0.6732,18.7385,outflow,1
2021-09-19,0.641,18.7106,outflow,1
2021-09-20,0.6109,18.6696,outflow,1
2021-09-21,0.5809,18.7015,outflow,1
2021-09-22,0.552,18.6755,outflow,1
2021-09-23,0.5283,18.6371,outflow,1
2021-09-24,0.5088,18.5582,outflow,1
2021-09-25,0.4834,18.4842,outflow,1
2021-09-26,0.4593,18.2511,outflow,1
2021-09-27,0.4364,18.0704,outflow,1
2021-09-28,0.4147,17.8576,outflow,1
2021-09-29,0.3942,17.6091,outflow,1
2021-09-30,0.3747,17.49,outflow,1
2021-10-01,0.3563,17.4742,outflow,1
2021-10-02,0.3388,17.3653,outflow,1
2021-10-03,0.3222,17.1739,outflow,1
2021-10-04,0.3065,17.0269,outflow,1
2021-10-05,0.2916,16.9373,outflow,1
2021-10-06,0.2775,16.8734,outflow,1
2021-10-07,0.2641,16.8878,outflow,1
2021-10-08,0.2519,16.9135,outflow,1
