time,FLOW,TEMP,type,outflow_num
2021-09-04,1.3969,18.4109,outflow,1
2021-09-05,1.3252,18.3114,outflow,1
2021-09-06,1.2572,18.3226,outflow,1
2021-09-07,1.1927,18.345,outflow,1
2021-09-08,1.1316,18.3178,outflow,1
2021-09-09,1.0737,18.3275,outflow,1
2021-09-10,1.0188,18.1929,outflow,1
2021-09-11,0.9668,18.1273,outflow,1
2021-09-12,0.9212,18.1184,outflow,1
2021-09-13,0.8742,18.0812,outflow,1
2021-09-14,0.8297,18.1376,outflow,1
2021-09-15,0.7876,18.3215,outflow,1
2021-09-16,0.7477,18.5446,outflow,1
2021-09-17,0.7103,18.7436,outflow,1
2021-09-18,0.678,18.7484,outflow,1
2021-09-19,0.6465,18.8009,outflow,1
2021-09-20,0.6162,18.7635,outflow,1
2021-09-21,0.5852,18.4485,outflow,1
2021-09-22,0.5557,18.0522,outflow,1
2021-09-23,0.5278,17.7997,outflow,1
2021-09-24,0.5014,17.8027,outflow,1
2021-09-25,0.4765,17.8267,outflow,1
2021-09-26,0.453,17.8222,outflow,1
2021-09-27,0.4308,17.8063,outflow,1
2021-09-28,0.4098,17.7919,outflow,1
2021-09-29,0.3895,17.7924,outflow,1
2021-09-30,0.3704,17.7235,outflow,1
2021-10-01,0.3572,17.7247,outflow,1
2021-10-02,0.3426,17.6675,outflow,1
2021-10-03,0.3264,17.4412,outflow,1
2021-10-04,0.3105,17.2351,outflow,1
2021-10-05,0.2954,17.1488,outflow,1
2021-10-06,0.2811,17.0204,outflow,1
2021-10-07,0.2676,16.9967,outflow,1
2021-10-08,0.2548,16.9548,outflow,1
