time,FLOW,TEMP,type,outflow_num
2021-09-04,1.3969,18.4009,outflow,1
2021-09-05,1.3252,18.3075,outflow,1
2021-09-06,1.2572,18.3249,outflow,1
2021-09-07,1.1928,18.3806,outflow,1
2021-09-08,1.1317,18.3409,outflow,1
2021-09-09,1.0743,18.3346,outflow,1
2021-09-10,1.0194,18.2253,outflow,1
2021-09-11,0.9673,18.0685,outflow,1
2021-09-12,0.918,17.9748,outflow,1
2021-09-13,0.8712,17.9163,outflow,1
2021-09-14,0.8269,18.0194,outflow,1
2021-09-15,0.7848,18.1674,outflow,1
2021-09-16,0.745,18.2174,outflow,1
2021-09-17,0.7072,17.9867,outflow,1
2021-09-18,0.6715,17.7668,outflow,1
2021-09-19,0.6376,17.695,outflow,1
2021-09-20,0.6055,17.5598,outflow,1
2021-09-21,0.5751,17.4677,outflow,1
2021-09-22,0.5462,17.2768,outflow,1
2021-09-23,0.5188,17.1415,outflow,1
2021-09-24,0.4928,17.0268,outflow,1
2021-09-25,0.4689,16.8872,outflow,1
2021-09-26,0.4455,16.6179,outflow,1
2021-09-27,0.4234,16.339,outflow,1
2021-09-28,0.4024,16.0924,outflow,1
2021-09-29,0.3835,15.998,outflow,1
2021-09-30,0.3667,16.0701,outflow,1
2021-10-01,0.3513,16.2012,outflow,1
2021-10-02,0.3363,16.2948,outflow,1
2021-10-03,0.3207,16.398,outflow,1
2021-10-04,0.3052,16.3349,outflow,1
2021-10-05,0.2904,16.1517,outflow,1
2021-10-06,0.2809,16.1235,outflow,1
2021-10-07,0.2674,16.0059,outflow,1
2021-10-08,0.2545,15.7735,outflow,1
